x	y	w	h	class	class_name	time
53	424	135	389	4	ladder	32363
17	893	81	96	0	buba	32363
113	883	70	95	0	buba	32363
1546	34	145	45	0	buba	32363
305	922	91	77	0	buba	45013
319	782	164	144	3	chest	45013
54	425	136	382	4	ladder	45013
21	894	77	95	0	buba	45013
1545	34	144	45	0	buba	45013
95	883	82	100	0	buba	45013
304	922	92	77	0	buba	45150
320	782	163	144	3	chest	45150
55	425	135	382	4	ladder	45150
21	894	77	95	0	buba	45150
1545	34	144	44	0	buba	45150
95	883	82	100	0	buba	45150
301	921	94	78	0	buba	45267
319	782	163	144	3	chest	45267
21	893	77	96	0	buba	45267
53	428	136	377	4	ladder	45267
96	883	81	99	0	buba	45267
1546	34	143	44	0	buba	45267
301	921	94	78	0	buba	45389
319	782	163	144	3	chest	45389
21	893	77	96	0	buba	45389
53	428	136	377	4	ladder	45389
96	883	81	99	0	buba	45389
1546	34	143	44	0	buba	45389
301	921	94	78	0	buba	45515
319	782	163	144	3	chest	45515
21	893	77	96	0	buba	45515
53	428	136	377	4	ladder	45515
96	883	81	99	0	buba	45515
1546	34	143	44	0	buba	45515
301	921	94	78	0	buba	45639
319	782	163	144	3	chest	45639
21	893	77	96	0	buba	45639
